barrage,follow,name,play,tags
186000,1031000,只要贝尔哲布布大小姐喜欢就好,11969000,"萌系,搞笑,恋爱,奇幻"
1038000,5061000,续 夏目友人帐,17133000,"奇幻,日常,治愈,催泪"
59000,1032000,我立于百万生命之上,5687000,"漫画改,穿越"
249000,1105000,狼与香辛料,7455000,"奇幻,日常,治愈,小说改"
258000,1083000,星之梦,8781000,"催泪,奇幻,治愈"
647000,4865000,Fate/stay night  06版,14351000,"奇幻,战斗,魔法,游戏改"
386000,1032000,动物新世代 / BNA,17044000,原创
362000,1033000,多田君不恋爱,15664000,"恋爱,原创"
811000,1185000,加速世界,17141000,"科幻,校园,战斗,热血"
263000,1048000,刻刻,16969000,"科幻,漫画改"
39000,1054000,你与我最后的战场，亦或是世界起始的圣战,4880000,"冒险,战斗,奇幻,恋爱"
642000,1049000,濑户的花嫁,17312000,"萌系,日常,恋爱"
541000,1167000,黑白来看守所,28650000,"漫画改,搞笑"
614000,1640000,NEW GAME!!,15168000,"职场,漫画改"
169000,961000,朝花夕誓,8744000,"奇幻,动画"
767000,5061000,夏目友人帐 肆,14063000,"奇幻,日常,治愈,催泪"
463000,918000,天真与闪电,15535000,"日常,治愈,萌系"
413000,923000,雏子的笔记,11836000,"萌系,日常,漫画改"
63000,954000,魔女之旅,3803000,"小说改,魔法,奇幻,架空"
835000,5061000,夏目友人帐 参,14730000,"奇幻,日常,治愈,催泪"
818000,1291000,粗点心战争,22418000,"日常,搞笑,美食"
21000,1995000,魔法少女小圆 剧场版 [后篇] 永远的物语,849000,"原创,战斗,奇幻,魔法"
377000,1833000,Rewrite 2nd Season,16821000,"校园,社团,战斗,游戏改"
598000,981000,白色相簿2,11922000,"恋爱,音乐,校园,游戏改"
552000,1609000,魔法少女☆伊莉雅 2WEI HERZ!,23987000,"萌系,奇幻,校园,战斗"
30000,992000,成神之日,3371000,"原创,恋爱,催泪"
121000,4865000,Fate/stay night [Unlimited Blade Works] 特典,10073000,"奇幻,日常"
122000,963000,猫咪日常,23004000,"漫画改,萌系,日常,泡面"
27000,994000,在魔王城说晚安,3056000,"漫画改,奇幻,治愈,搞笑"
575000,1001000,欢迎光临樱兰高校,19433000,"搞笑,日常,少女,校园"
2907000,1004000,银仙,32528000,"萌系,搞笑,日常,治愈"
817000,1397000,弹丸论破3 -绝望篇-,32081000,"热血,校园,智斗"
198000,862000,一周的朋友。,3617000,"日常,少女,催泪,校园"
338000,1433000,Free!-Dive to the Future-,11540000,"热血,社团,运动,小说改"
495000,876000,王室教师海涅,13941000,"搞笑,漫画改"
139000,1286000,吹响吧！上低音号 第二季,3693000,"日常,校园,励志,音乐"
140000,845000,为美好的世界献上祝福！红传说,5138000,"小说改,穿越,战斗,搞笑"
185000,862000,神的记事本,6587000,"日常,小说改,推理"
778000,902000,好想告诉你 第一季,11502000,"少女,校园,治愈,催泪"
115000,891000,钢之炼金术师,5691000,"架空,冒险"
209000,866000,同居人是猫,19456000,"治愈,漫画改,萌系"
449000,959000,记录的地平线,16318000,"奇幻,智斗,架空,穿越"
840000,6951000,刀剑神域：序列之争,26673000,"科幻,动画,冒险"
405000,894000,农林,8587000,"萌系,日常,美食,小说改"
576000,888000,对魔导学园35试验小队,27034000,"校园,奇幻,战斗"
90000,924000,虫师,5476000,"奇幻,治愈"
783000,920000,小魔女学园 TV版,25844000,"原创,冒险"
